Word,Pos,N_meanings,N_synonyms,N_hypernyms,N_hyponyms,N_antonyms,Google_freq,Movie_freq,Movie_freq_pm,BlogFreq,BlogFreqPm,BlogCD,BlogCDPc,TwitterFreq,TwitterFreqPm,TwitterCD,TwitterCDPc,NewsFreq,NewsFreqPm,NewsCD,NewsCDPc.,Conc_M,N_unknown,N_participants,rt_correct_std,rt_zscore_correct_mean,rank_L2,rank_L1,diff_L1_L2,length_of_word,length_of_phonetics,num_of_syllables,num_of_morph,num_of_prefix,num_of_suff,total_pref_length,total_suff_length,pref_famsize,suff_famsize,level
somewhere,adverb,2,1,0,0,0,14317877,5678,111.3333333,3310,86.8042,3212,0.3572,2079,67.1117,2069,0.0877,1125,31.9454,1104,0.1093,2.08,0,26,530.1444102,-0.605353583,467,6990,-6523,9,10,2,2,0,0,0,0,0,0,a2
son,noun,2,2,1,1,1,58094311,20864,409.0980392,6893,180.7677,5950,0.6616,4176,134.8045,4067,0.1723,6600,187.413,6147,0.6085,4.14,0,28,387.7853476,-0.723017851,2975,4299,-1324,3,6,1,1,0,0,0,0,0,0,a1
song,noun,6,4,6,3,0,65832126,4735,92.84313725,6334,166.108,4896,0.5444,12903,416.5188,12412,0.5259,2648,75.1924,2316,0.2293,4.46,0,26,282.9104409,-0.726124485,61,5903,-5842,4,6,1,1,0,0,0,0,0,0,a1
soon,adverb,1,1,0,0,0,77038135,9689,189.9803922,9534,250.0275,9210,1.0241,19641,634.0267,19413,0.8225,5243,148.8797,5190,0.5137,1.79,0,29,374.346202,-0.799522936,15,171,-156,4,7,1,1,0,0,0,0,0,0,a1
sorry,adjective,5,1,0,0,1,35595812,59455,1165.784314,4157,109.0166,4009,0.4458,15112,487.827,14880,0.6305,968,27.4872,920,0.0911,1.9,0,30,368.3237268,-0.742588253,424,3897,-3473,5,7,2,1,0,0,0,0,0,0,a1
sort,noun,6,2,4,1,0,86985936,3632,71.21568627,5913,155.0674,5638,0.6269,1360,43.9019,1349,0.0572,2354,66.844,2299,0.2276,3.34,1,30,667.8124277,-0.572269403,2956,2966,-10,4,7,1,1,0,0,0,0,0,0,a2
sort,verb,6,2,2,1,0,86985936,297,5.823529412,5913,155.0674,5638,0.6269,1360,43.9019,1349,0.0572,2354,66.844,2299,0.2276,3.34,1,30,667.8124277,-0.572269403,2956,2966,-10,4,7,1,1,0,0,0,0,0,0,b1
soul,noun,5,3,5,2,0,33173763,3881,76.09803922,3457,90.6592,3117,0.3466,2556,82.5097,2486,0.1053,1061,30.1281,1000,0.099,1.86,0,29,631.1908692,-0.683176573,1043,9746,-8703,4,8,1,1,0,0,0,0,0,0,b2
sound,adjective,23,5,0,0,2,100010833,140,2.745098039,5824,152.7334,5225,0.581,4994,161.2102,4886,0.207,3012,85.5285,2862,0.2833,3.7,0,30,304.4123467,-0.75534141,353,13491,-13138,5,9,1,1,0,0,0,0,0,0,c1
sound,noun,23,4,8,6,1,100010833,3386,66.39215686,5824,152.7334,5225,0.581,4994,161.2102,4886,0.207,3012,85.5285,2862,0.2833,3.7,0,30,304.4123467,-0.75534141,353,13491,-13138,5,9,1,1,0,0,0,0,0,0,a1
sound,verb,23,3,5,4,1,100010833,3480,68.23529412,5824,152.7334,5225,0.581,4994,161.2102,4886,0.207,3012,85.5285,2862,0.2833,3.7,0,30,304.4123467,-0.75534141,353,13491,-13138,5,9,1,1,0,0,0,0,0,0,a1
soup,noun,4,0,3,1,0,10543301,1283,25.15686275,1844,48.3586,1456,0.1619,1407,45.419,1332,0.0564,1151,32.6837,992,0.0982,4.72,0,29,259.0504481,-0.758370037,3297,2383,914,4,7,1,1,0,0,0,0,0,0,a1
source,noun,11,6,9,7,1,179963886,1435,28.1372549,2839,74.4523,2665,0.2963,1330,42.9334,1292,0.0547,2308,65.5378,2232,0.2209,2.96,0,27,434.8450976,-0.690434668,2945,4903,-1958,6,7,1,1,0,0,0,0,0,0,a2
