Word,Pos,N_meanings,N_synonyms,N_hypernyms,N_hyponyms,N_antonyms,Google_freq,Movie_freq,Movie_freq_pm,BlogFreq,BlogFreqPm,BlogCD,BlogCDPc,TwitterFreq,TwitterFreqPm,TwitterCD,TwitterCDPc,NewsFreq,NewsFreqPm,NewsCD,NewsCDPc.,Conc_M,N_unknown,N_participants,rt_correct_std,rt_zscore_correct_mean,rank_L2,rank_L1,diff_L1_L2,length_of_word,length_of_phonetics,num_of_syllables,num_of_morph,num_of_prefix,num_of_suff,total_pref_length,total_suff_length,pref_famsize,suff_famsize,level
abandon,verb,7,4,3,3,0,2747961,395,7.745098039,360,9.4409,350,0.0389,118,3.8091,116,0.0049,299,8.4904,296,0.0293,2.54,1,27,687.881986,-0.44059969,7522,4164,3358,7,10,3,1,0,0,0,0,0,0,b2
ability,noun,2,1,2,2,2,52004289,975,19.11764706,3418,89.6365,3194,0.3552,1195,38.5755,1169,0.0495,3491,99.1301,3395,0.3361,1.81,0,27,537.4146203,-0.644052409,3106,6070,-2964,7,11,4,2,0,1,0,3,0,580,a2
able,adjective,4,2,0,0,1,109389038,8148,159.7647059,14546,381.4663,13481,1.4991,5197,167.7632,5154,0.2184,9321,264.6782,8916,0.8826,2.38,1,27,389.1211156,-0.664206511,5488,1798,3690,4,10,2,1,0,0,0,0,0,0,a2
abolish,verb,1,1,0,1,1,912065,24,0.470588235,83,2.1767,78,0.0087,32,1.033,31,0.0013,99,2.8112,90,0.0089,2.19,0,26,751.6490057,-0.452798839,16667,9315,7352,7,9,3,1,0,0,0,0,0,0,c1
abortion,noun,2,1,2,1,0,9397315,370,7.254901961,538,14.109,432,0.048,184,5.9397,179,0.0076,740,21.013,639,0.0633,3.41,0,27,456.0608463,-0.577259952,5309,3810,1499,8,10,3,2,0,1,0,3,0,1599,c1
about,adverb,7,6,0,0,0,1226734006,20769,407.2352941,115251,3022.4373,93005,10.3421,91189,2943.6514,87358,3.7014,89695,2546.9708,80193,7.938,1.77,0,26,470.036351,-0.723521762,230,52,178,5,9,2,1,0,0,0,0,0,0,a1
about,preposition,7,0,0,0,0,1226734006,164260,3220.784314,115251,3022.4373,93005,10.3421,91189,2943.6514,87358,3.7014,89695,2546.9708,80193,7.938,1.77,0,26,470.036351,-0.723521762,230,52,178,5,9,2,1,0,0,0,0,0,0,a1
above,adverb,4,2,0,0,2,141894620,608,11.92156863,8776,230.1491,8296,0.9225,1276,41.1903,1265,0.0536,3579,101.6289,3470,0.3435,3.33,0,24,317.4310273,-0.777586898,1191,1816,-625,5,7,2,1,0,0,0,0,0,0,a1
above,preposition,4,0,0,0,0,141894620,1770,34.70588235,8776,230.1491,8296,0.9225,1276,41.1903,1265,0.0536,3579,101.6289,3470,0.3435,3.33,0,24,317.4310273,-0.777586898,1191,1816,-625,5,7,2,1,0,0,0,0,0,0,a1
abroad,adverb,3,2,0,0,0,14837382,250,4.901960784,583,15.2891,544,0.0605,339,10.9432,330,0.014,542,15.3906,527,0.0522,2.72,1,26,557.7470099,-0.593897712,2955,6437,-3482,6,9,2,1,0,0,0,0,0,0,a2
absence,noun,4,1,4,3,2,14681896,321,6.294117647,760,19.9309,737,0.082,250,8.0702,248,0.0105,788,22.376,780,0.0772,2.31,0,26,578.8715071,-0.508906536,4192,8534,-4342,7,9,2,1,0,0,0,0,0,0,c1
absolute,adjective,7,2,0,0,1,16198563,578,11.33333333,1292,33.8825,1248,0.1388,527,17.012,522,0.0221,363,10.3077,356,0.0352,1.81,0,27,516.8038414,-0.576040838,523,8121,-7598,8,12,3,1,0,0,0,0,0,0,b2
absolutely,adverb,1,1,0,0,0,20816571,5756,112.8627451,4013,105.2402,3916,0.4355,3846,124.1519,3823,0.162,1606,45.6038,1581,0.1565,1.97,0,30,533.2910186,-0.615450644,321,5589,-5268,10,14,4,2,0,1,0,2,0,2898,b1
absorb,verb,9,6,7,6,1,2378096,102,2,279,7.3167,271,0.0301,76,2.4533,76,0.0032,278,7.8941,272,0.0269,3.11,0,28,438.7458589,-0.583736838,7896,869,7027,6,9,2,2,1,0,2,0,24,0,b2
absurd,adjective,3,1,0,0,0,2148981,494,9.68627451,373,9.7819,349,0.0388,189,6.1011,186,0.0079,228,6.4743,222,0.022,1.64,0,28,606.024011,-0.634080586,6155,5514,641,6,9,2,1,0,0,0,0,0,0,c1
abundance,noun,3,1,3,1,1,4870991,45,0.882352941,480,12.5879,447,0.0497,165,5.3263,160,0.0068,201,5.7076,200,0.0198,2.21,1,29,625.2512888,-0.488232048,14077,7329,6748,9,11,3,2,0,1,0,4,0,323,c1
academic,adjective,4,1,0,0,0,54886061,235,4.607843137,921,24.1531,822,0.0914,600,19.3685,589,0.025,1556,44.184,1481,0.1466,2.11,0,27,446.9950186,-0.634530587,1875,6566,-4691,8,12,4,2,0,1,0,2,0,1014,b1
academic,noun,4,1,1,1,0,54886061,2,0.039215686,921,24.1531,822,0.0914,600,19.3685,589,0.025,1556,44.184,1481,0.1466,2.11,0,27,446.9950186,-0.634530587,1875,6566,-4691,8,12,4,2,0,1,0,2,0,1014,b2
academy,noun,4,1,4,2,0,29252165,633,12.41176471,638,16.7314,594,0.0661,653,21.0793,642,0.0272,2300,65.3106,2117,0.2096,4.29,0,28,467.4048476,-0.668819625,1864,2082,-218,7,10,4,2,0,1,0,1,0,2486,c1
accelerate,verb,2,2,2,1,2,3199272,65,1.274509804,94,2.4651,91,0.0101,42,1.3558,42,0.0018,179,5.0829,178,0.0176,3.48,0,27,805.5197074,-0.448572572,3655,1048,2607,10,15,4,3,1,1,1,3,309,937,c1
accept,verb,11,7,10,6,3,43171429,2692,52.78431373,2596,68.0796,2398,0.2667,1336,43.1271,1283,0.0544,1539,43.7013,1502,0.1487,3.03,0,29,326.3904243,-0.782501724,414,7491,-7077,6,9,2,1,0,0,0,0,0,0,a2
acceptable,adjective,4,1,0,0,1,14590887,269,5.274509804,772,20.2456,737,0.082,383,12.3635,378,0.016,381,10.8188,374,0.037,1.93,0,28,520.6219299,-0.644727852,3556,5440,-1884,10,14,4,2,0,1,0,4,0,872,b2
acceptance,noun,7,4,7,4,1,36864919,162,3.176470588,651,17.0724,614,0.0683,273,8.8127,272,0.0115,308,8.7459,300,0.0297,2.21,0,28,570.7613026,-0.529327087,5903,13073,-7170,10,12,3,2,0,1,0,4,0,323,c1
access,noun,8,4,6,5,0,217986984,1318,25.84313725,2645,69.3647,2436,0.2709,1941,62.657,1886,0.0799,3609,102.4808,3446,0.3411,2.71,0,28,284.0075765,-0.727042583,2832,2244,588,6,8,2,1,0,0,0,0,0,0,b1
access,verb,8,1,2,1,0,217986984,283,5.549019608,2645,69.3647,2436,0.2709,1941,62.657,1886,0.0799,3609,102.4808,3446,0.3411,2.71,0,28,284.0075765,-0.727042583,2832,2244,588,6,8,2,1,0,0,0,0,0,0,b1
accessible,adjective,4,1,0,0,1,18695403,56,1.098039216,488,12.7977,478,0.0532,221,7.1341,219,0.0093,568,16.1289,559,0.0553,1.8,1,26,662.5290312,-0.472475403,3719,2428,1291,10,13,4,2,0,1,0,4,0,872,c1
accident,noun,2,1,2,2,0,18699760,4138,81.1372549,1182,30.9977,1098,0.1221,952,30.7313,940,0.0398,1915,54.3782,1817,0.1799,3.26,0,27,563.2800824,-0.661127912,1963,1739,224,8,11,3,1,0,0,0,0,0,0,a2
accommodate,verb,7,6,6,3,1,7002915,108,2.117647059,311,8.1559,306,0.034,73,2.3565,72,0.0031,619,17.5771,611,0.0605,1.86,1,29,744.5806935,-0.316090072,7551,9986,-2435,11,14,4,1,0,0,0,0,0,0,b2
accommodation,noun,6,1,6,4,0,60589803,48,0.941176471,235,6.1628,205,0.0228,11,0.3551,11,0.0005,54,1.5334,52,0.0051,2.96,0,27,700.1299962,-0.387674347,7524,2696,4828,13,16,5,2,0,1,0,3,0,1599,b1
accompany,verb,4,3,3,2,0,3439497,242,4.745098039,298,7.815,294,0.0327,51,1.6463,51,0.0022,207,5.878,206,0.0204,3.07,0,28,773.4431351,-0.363121332,9409,1418,7991,9,11,4,3,1,1,1,1,309,2486,b2
accomplish,verb,2,2,2,2,0,6091676,298,5.843137255,740,19.4064,713,0.0793,472,15.2365,467,0.0198,465,13.2041,451,0.0446,2.33,0,30,685.9239392,-0.554190628,7266,11121,-3855,10,11,3,1,0,0,0,0,0,0,b2
accordance,noun,2,2,2,0,0,25194680,10,0.196078431,213,5.5859,204,0.0227,13,0.4197,13,0.0006,84,2.3853,84,0.0083,1.54,2,30,726.325749,-0.335941428,12599,13235,-636,10,11,3,2,0,1,0,4,0,323,c1
accordingly,adverb,1,1,0,0,0,8960086,93,1.823529412,378,9.913,375,0.0417,104,3.3572,104,0.0044,170,4.8273,170,0.0168,1.58,0,31,724.9434478,-0.415915383,11666,7032,4634,11,12,4,2,0,1,0,2,0,2898,c1
account,noun,14,8,10,7,0,203611349,1587,31.11764706,2774,72.7477,2472,0.2749,4995,161.2425,4846,0.2053,2793,79.3098,2617,0.259,3.08,0,26,363.3482946,-0.750150557,215,5927,-5712,7,10,2,1,0,0,0,0,0,0,b1
account,verb,14,3,3,1,0,203611349,335,6.568627451,2774,72.7477,2472,0.2749,4995,161.2425,4846,0.2053,2793,79.3098,2617,0.259,3.08,0,26,363.3482946,-0.750150557,215,5927,-5712,7,10,2,1,0,0,0,0,0,0,b2
accountant,noun,1,1,1,1,0,4289265,315,6.176470588,129,3.383,120,0.0133,100,3.2281,97,0.0041,204,5.7928,191,0.0189,4.41,0,29,754.3168906,-0.399024115,4900,5181,-281,10,13,3,2,0,1,0,3,0,464,b2
accumulate,verb,2,2,2,2,0,1715457,29,0.568627451,110,2.8847,108,0.012,29,0.9361,29,0.0012,89,2.5272,89,0.0088,3,0,25,564.6116095,-0.512484271,4389,7067,-2678,10,17,4,3,1,1,1,3,309,937,c1
accuracy,noun,2,1,2,1,1,29536020,76,1.490196078,323,8.4706,307,0.0341,77,2.4856,76,0.0032,269,7.6385,260,0.0257,1.85,0,27,453.6250011,-0.598447534,8872,6254,2618,8,11,4,2,0,1,0,3,0,38,b2
accurate,adjective,2,1,0,0,1,25144477,398,7.803921569,895,23.4712,854,0.095,396,12.7832,395,0.0167,634,18.003,622,0.0616,1.9,1,30,458.2797264,-0.668880561,4892,6200,-1308,8,10,3,2,0,1,0,3,0,937,b2
accurately,adverb,1,0,0,0,1,6587832,58,1.137254902,352,9.2311,348,0.0387,65,2.0983,64,0.0027,224,6.3607,222,0.022,2.39,0,28,804.0566612,-0.433783794,10198,4333,5865,10,12,4,3,0,2,0,5,0,3835,b2
accusation,noun,2,2,2,2,0,847191,143,2.803921569,104,2.7274,102,0.0113,17,0.5488,17,0.0007,120,3.4075,120,0.0119,2.38,0,29,763.754048,-0.396277665,14283,12559,1724,10,16,4,2,0,1,0,3,0,1599,c1
accuse,verb,2,2,1,2,0,1048371,290,5.68627451,155,4.0648,150,0.0167,68,2.1951,68,0.0029,160,4.5433,160,0.0158,2.25,0,28,640.2111776,-0.512228768,11042,14017,-2975,6,9,2,1,0,0,0,0,0,0,b2
achieve,verb,1,1,1,1,0,27332769,374,7.333333333,1640,43.0087,1564,0.1739,694,22.4029,681,0.0289,856,24.3069,840,0.0831,2.29,0,28,737.0418184,-0.559956097,5253,9973,-4720,7,10,2,1,0,0,0,0,0,0,a2
acid,adjective,5,2,0,0,0,30867887,6,0.117647059,598,15.6824,490,0.0545,195,6.2948,189,0.008,344,9.7682,305,0.0302,4.25,0,28,430.3743266,-0.703304234,3571,5775,-2204,4,7,2,1,0,0,0,0,0,0,c1
acid,noun,5,1,2,1,0,30867887,502,9.843137255,598,15.6824,490,0.0545,195,6.2948,189,0.008,344,9.7682,305,0.0302,4.25,0,28,430.3743266,-0.703304234,3571,5775,-2204,4,7,2,1,0,0,0,0,0,0,b2
acknowledge,verb,6,5,6,3,1,6546612,313,6.137254902,686,17.9902,671,0.0746,188,6.0688,187,0.0079,537,15.2486,533,0.0528,2.03,0,31,716.6384968,-0.423679154,6921,1367,5554,11,12,3,3,1,0,1,0,309,0,b2
acquire,verb,7,6,5,5,1,8803690,135,2.647058824,341,8.9427,329,0.0366,197,6.3593,184,0.0078,360,10.2225,359,0.0355,2.93,0,28,826.5026914,-0.44073668,15013,11305,3708,7,11,2,2,1,0,1,0,309,0,b2
across,adverb,1,1,0,0,0,76597151,652,12.78431373,8323,218.2692,7988,0.8883,2606,84.1237,2591,0.1098,8250,234.2662,8096,0.8014,3.07,0,28,751.523346,-0.63410953,1545,6069,-4524,6,8,2,1,0,0,0,0,0,0,a1
across,preposition,1,0,0,0,0,76597151,4141,81.19607843,8323,218.2692,7988,0.8883,2606,84.1237,2591,0.1098,8250,234.2662,8096,0.8014,3.07,0,28,751.523346,-0.63410953,1545,6069,-4524,6,8,2,1,0,0,0,0,0,0,a1
act,noun,14,3,5,3,0,141076205,2739,53.70588235,5460,143.1875,4780,0.5315,3959,127.7996,3848,0.163,4942,140.3326,4668,0.4621,2.46,0,26,547.661867,-0.695508819,319,41,278,3,6,1,1,0,0,0,0,0,0,b1
act,verb,14,7,6,7,1,141076205,2823,55.35294118,5460,143.1875,4780,0.5315,3959,127.7996,3848,0.163,4942,140.3326,4668,0.4621,2.46,0,26,547.661867,-0.695508819,319,41,278,3,6,1,1,0,0,0,0,0,0,a2
action,noun,12,5,10,6,1,162023431,3098,60.74509804,5102,133.7991,4565,0.5076,2866,92.5167,2766,0.1172,4990,141.6956,4841,0.4792,2.86,0,29,313.612806,-0.776577893,1762,4611,-2849,6,8,2,2,0,1,0,3,0,1599,a1
activate,verb,5,2,5,1,1,5014202,238,4.666666667,99,2.5963,97,0.0108,78,2.5179,77,0.0033,80,2.2717,78,0.0077,2.97,0,29,466.206806,-0.671234901,935,5178,-4243,8,13,3,3,0,2,0,6,0,1517,b2
activation,noun,3,1,3,2,2,10581402,43,0.843137255,68,1.7833,62,0.0069,44,1.4204,44,0.0019,33,0.9371,33,0.0033,2.41,0,27,632.2136113,-0.499084918,2206,3000,-794,10,15,4,4,0,3,0,9,0,3116,c1
active,adjective,17,3,0,0,11,84084764,584,11.45098039,1662,43.5857,1542,0.1715,902,29.1173,889,0.0377,1890,53.6683,1851,0.1832,3.32,0,28,355.6967638,-0.756843975,1333,207,1126,6,8,2,2,0,1,0,3,0,580,a2
activist,noun,2,1,1,1,0,4027427,50,0.980392157,310,8.1297,298,0.0331,143,4.6162,141,0.006,867,24.6193,854,0.0845,3.34,0,29,565.0426937,-0.631501001,2783,3671,-888,8,12,3,3,0,2,0,6,0,1042,c1
activity,noun,6,4,6,5,3,79633609,657,12.88235294,2140,56.1211,1963,0.2183,775,25.0176,770,0.0326,2185,62.0451,2096,0.2075,2.72,0,25,355.9662741,-0.669803088,313,8365,-8052,8,11,4,3,0,2,0,6,0,1160,a1
actor,noun,2,2,2,2,0,16282891,1336,26.19607843,1040,27.2738,950,0.1056,997,32.1839,979,0.0415,1635,46.4273,1521,0.1506,4.57,0,30,602.4427608,-0.76188538,35,4097,-4062,5,7,2,2,0,1,0,2,0,289,a1
actress,noun,1,0,1,1,0,7010056,814,15.96078431,597,15.6562,554,0.0616,500,16.1404,492,0.0208,1046,29.7021,987,0.0977,4.54,0,28,466.2884754,-0.663172161,3470,8130,-4660,7,9,2,2,0,1,0,3,0,43,a1
actual,adjective,6,1,0,0,1,42552937,882,17.29411765,3069,80.484,2939,0.3268,1240,40.0282,1232,0.0522,1261,35.8072,1242,0.1229,2.22,0,27,502.8991499,-0.721706353,1110,5032,-3922,6,13,3,2,0,1,0,2,0,1431,b2
actually,adverb,2,2,0,0,0,69444655,16406,321.6862745,18109,474.9053,17041,1.8949,11721,378.3629,11644,0.4934,5575,158.3072,5466,0.5411,1.37,0,30,454.9795908,-0.70337172,811,4810,-3999,8,14,4,3,0,2,0,3,0,3917,a2
acute,adjective,7,3,0,0,2,11128841,150,2.941176471,175,4.5893,170,0.0189,32,1.033,32,0.0014,184,5.2248,176,0.0174,1.92,0,25,622.8760408,-0.442609155,21055,6320,14735,5,9,2,1,0,0,0,0,0,0,c1
adapt,verb,2,2,2,2,0,4675567,134,2.62745098,347,9.1,331,0.0368,160,5.1649,156,0.0066,264,7.4965,257,0.0254,2.41,0,29,392.5901454,-0.642283421,7054,420,6634,5,8,2,1,0,0,0,0,0,0,b2
adaptation,noun,3,2,3,3,0,5314230,81,1.588235294,306,8.0248,288,0.032,92,2.9698,91,0.0039,275,7.8089,272,0.0269,2.04,0,28,752.9633279,-0.477262108,4345,2039,2306,10,14,4,2,0,1,0,3,0,1599,c1
add,verb,7,4,6,4,2,387231739,1681,32.96078431,12453,326.5777,10154,1.1291,4537,146.4579,4371,0.1852,5868,166.6272,5114,0.5062,3,0,30,412.7497745,-0.751306632,354,142,212,3,5,1,1,0,0,0,0,0,0,a1
addiction,noun,3,1,3,1,0,9331004,199,3.901960784,596,15.63,530,0.0589,531,17.1411,518,0.0219,452,12.8349,424,0.042,2.85,0,26,577.5769997,-0.631172017,1734,3743,-2009,9,10,3,2,0,1,0,3,0,1599,b2
addition,noun,6,4,6,3,1,73434482,148,2.901960784,3002,78.7269,2937,0.3266,527,17.012,527,0.0223,4139,117.5307,4111,0.4069,2.89,0,27,499.4098513,-0.598242617,2551,7396,-4845,8,9,3,2,0,1,0,3,0,1599,b1
additional,adjective,1,1,0,0,0,132187702,300,5.882352941,1825,47.8603,1764,0.1962,322,10.3944,320,0.0136,4059,115.259,3942,0.3902,2.43,0,30,733.7286058,-0.605838546,2265,875,1390,10,12,4,3,0,2,0,5,0,3030,b2
adequate,adjective,3,1,0,0,1,15023940,134,2.62745098,338,8.864,327,0.0364,68,2.1951,68,0.0029,488,13.8572,481,0.0476,1.97,0,29,598.3259204,-0.455885264,10683,10503,180,8,10,3,2,0,1,0,3,0,937,b2
adequately,adverb,1,0,0,0,1,4425890,27,0.529411765,162,4.2484,158,0.0176,22,0.7102,22,0.0009,208,5.9063,207,0.0205,1.72,0,29,823.4327779,-0.416143786,17113,9336,7777,10,12,4,3,0,2,0,5,0,3835,b2
adhere,verb,6,4,6,2,0,2655276,29,0.568627451,271,7.1069,233,0.0259,15,0.4842,15,0.0006,116,3.2939,115,0.0114,2.62,0,29,762.3076452,-0.404814416,25120,11847,13273,6,9,2,2,1,0,2,0,4,0,c1
adjacent,adjective,3,2,0,0,0,9869232,37,0.725490196,206,5.4023,201,0.0224,34,1.0975,34,0.0014,506,14.3683,502,0.0497,3.63,0,27,649.6293402,-0.470419661,20600,4334,16266,8,14,3,1,0,0,0,0,0,0,c1
adjust,verb,5,3,5,3,1,9115016,287,5.62745098,606,15.8922,582,0.0647,207,6.6821,198,0.0084,527,14.9646,513,0.0508,2.93,0,28,382.7115155,-0.654982367,7233,11865,-4632,6,10,2,2,1,0,1,0,309,0,b2
adjustment,noun,5,5,5,5,0,12343670,157,3.078431373,252,6.6087,234,0.026,99,3.1958,97,0.0041,304,8.6324,293,0.029,2.81,0,27,477.9709754,-0.596862774,4570,4932,-362,10,14,3,3,1,1,1,4,309,288,c1
administer,verb,4,3,5,4,0,3754648,85,1.666666667,77,2.0193,75,0.0083,21,0.6779,21,0.0009,121,3.4359,120,0.0119,2.53,0,30,1072.09947,-0.159108311,14262,14455,-193,10,12,4,2,1,0,1,0,309,0,c1
administration,noun,4,6,6,4,0,77515175,387,7.588235294,1325,34.7479,1184,0.1317,221,7.1341,219,0.0093,5670,161.0048,5454,0.5399,2.78,0,27,562.4504859,-0.492043594,1207,1696,-489,14,19,5,4,1,2,1,6,309,2536,b2
admire,verb,2,1,2,1,1,2196307,723,14.17647059,561,14.7121,545,0.0606,347,11.2014,344,0.0146,217,6.1619,214,0.0212,2.04,0,28,562.4740645,-0.635959247,5079,4845,234,6,11,2,1,0,0,0,0,0,0,b1
admission,noun,3,3,4,3,0,16356727,181,3.549019608,446,11.6963,410,0.0456,446,14.3972,433,0.0183,1315,37.3406,1234,0.1221,2.83,0,30,518.9950397,-0.602449344,7141,2101,5040,9,10,3,2,0,1,0,3,0,1599,c1
admit,verb,7,6,5,5,3,8780656,3015,59.11764706,2902,76.1044,2818,0.3134,1429,46.1292,1421,0.0602,644,18.287,633,0.0627,2.32,1,26,517.8918043,-0.620942439,4804,7136,-2332,5,8,2,1,0,0,0,0,0,0,b1
adolescent,noun,5,1,1,1,0,5577666,28,0.549019608,156,4.0911,150,0.0167,29,0.9361,29,0.0012,132,3.7483,129,0.0128,3.48,0,29,727.7216913,-0.512926429,10887,15542,-4655,10,13,4,2,0,1,0,3,0,464,c1
adopt,verb,7,7,7,4,0,11272339,237,4.647058824,489,12.8239,465,0.0517,229,7.3923,229,0.0097,541,15.3622,530,0.0525,2.36,0,28,420.869796,-0.687217951,4449,4363,86,5,8,2,1,0,0,0,0,0,0,b2
adoption,noun,3,2,3,2,0,17860735,239,4.68627451,729,19.1179,591,0.0657,251,8.1025,247,0.0105,482,13.6868,437,0.0433,3.03,0,29,520.3210176,-0.528325898,2642,644,1998,8,10,3,2,0,1,0,3,0,1599,c1
adult,adjective,3,2,0,0,0,97583096,70,1.37254902,2342,61.4185,2122,0.236,1085,35.0246,1065,0.0451,1820,51.6805,1736,0.1718,4.4,0,25,533.5791777,-0.76191389,1601,32,1569,5,8,2,1,0,0,0,0,0,0,a2
adult,noun,3,1,2,1,1,97583096,656,12.8627451,2342,61.4185,2122,0.236,1085,35.0246,1065,0.0451,1820,51.6805,1736,0.1718,4.4,0,25,533.5791777,-0.76191389,1601,32,1569,5,8,2,1,0,0,0,0,0,0,a1
advance,adjective,20,2,0,0,0,44738913,7,0.137254902,1290,33.83,1218,0.1354,831,26.8253,824,0.0349,2043,58.0128,2001,0.1981,2.57,0,28,382.7319871,-0.699625957,1568,4198,-2630,7,9,2,1,0,0,0,0,0,0,b2
advance,noun,20,6,6,3,1,44738913,592,11.60784314,1290,33.83,1218,0.1354,831,26.8253,824,0.0349,2043,58.0128,2001,0.1981,2.57,0,28,382.7319871,-0.699625957,1568,4198,-2630,7,9,2,1,0,0,0,0,0,0,b2
advance,verb,20,10,11,6,5,44738913,215,4.215686275,1290,33.83,1218,0.1354,831,26.8253,824,0.0349,2043,58.0128,2001,0.1981,2.57,0,28,382.7319871,-0.699625957,1568,4198,-2630,7,9,2,1,0,0,0,0,0,0,b2
advanced,adjective,8,4,0,0,0,173422161,346,6.784313725,808,21.1897,773,0.086,422,13.6225,415,0.0176,1373,38.9876,1334,0.132,1.83,0,29,494.1933919,-0.687265038,1828,5543,-3715,8,10,2,1,0,0,0,0,0,0,b1
advantage,noun,4,2,3,1,2,32963469,1121,21.98039216,1566,41.0681,1509,0.1678,955,30.8281,949,0.0402,2769,78.6283,2701,0.2674,2,0,28,478.6350113,-0.661560958,3119,4404,-1285,9,14,3,1,0,0,0,0,0,0,a2
adventure,noun,3,1,1,0,0,34807033,684,13.41176471,1778,46.6277,1668,0.1855,959,30.9573,950,0.0403,686,19.4796,660,0.0653,2.59,0,27,649.0767163,-0.616781517,1639,4393,-2754,9,12,3,2,0,1,0,3,0,98,a2
adverse,adjective,2,2,0,0,0,11157534,36,0.705882353,197,5.1663,178,0.0198,25,0.807,25,0.0011,146,4.1458,141,0.014,2.23,0,26,778.7444211,-0.424235016,9921,4899,5022,7,9,2,1,0,0,0,0,0,0,c1
advertise,verb,2,2,2,2,0,81965610,84,1.647058824,152,3.9862,151,0.0168,178,5.746,175,0.0074,123,3.4927,122,0.0121,2.81,0,26,651.0999393,-0.5288737,3612,7789,-4177,9,13,3,2,0,1,0,3,0,430,a2
advice,noun,1,0,1,1,0,71268723,2447,47.98039216,2674,70.1252,2506,0.2787,2791,90.0956,2743,0.1162,1584,44.9791,1539,0.1523,2.73,0,30,466.7677702,-0.743234717,1653,435,1218,6,10,2,1,0,0,0,0,0,0,a1
advise,verb,3,3,3,2,0,8325087,623,12.21568627,331,8.6804,318,0.0354,217,7.0049,217,0.0092,242,6.8718,241,0.0239,2.03,0,30,725.3575114,-0.616535667,2534,8584,-6050,6,10,2,1,0,0,0,0,0,0,b1
aesthetic,adjective,4,2,0,0,1,3100660,34,0.666666667,330,8.6542,311,0.0346,80,2.5825,78,0.0033,192,5.452,191,0.0189,2.33,2,29,876.1845967,-0.198601812,18525,12805,5720,9,11,3,3,1,1,3,2,6,1014,c1
affair,noun,3,3,3,2,0,5545856,1502,29.45098039,812,21.2946,781,0.0868,228,7.36,227,0.0096,762,21.6377,738,0.0731,2.45,0,29,448.7492602,-0.638489174,4911,2629,2282,6,8,2,1,0,0,0,0,0,0,b2
affection,noun,1,1,1,1,0,2332707,430,8.431372549,419,10.9882,393,0.0437,127,4.0997,124,0.0053,190,5.3952,190,0.0188,2.22,0,27,522.3128043,-0.570426304,3320,3002,318,9,10,3,3,1,1,1,3,309,1599,c1
afford,verb,3,2,2,1,0,10348210,2264,44.39215686,1278,33.5153,1228,0.1366,763,24.6302,747,0.0317,1551,44.0421,1502,0.1487,1.83,0,30,535.20895,-0.608585623,7185,4368,2817,6,8,2,1,0,0,0,0,0,0,b1
affordable,adjective,1,1,0,0,0,21650006,33,0.647058824,629,16.4954,588,0.0654,427,13.7839,424,0.018,1280,36.3468,1236,0.1223,2.1,0,29,549.4893838,-0.567471545,10950,4418,6532,6,8,2,1,0,0,0,0,0,0,b2
afraid,adjective,4,0,0,0,1,10858793,12617,247.3921569,2508,65.7719,2341,0.2603,2020,65.2072,1924,0.0815,993,28.1971,952,0.0942,2.7,0,30,499.225146,-0.648165651,1772,5827,-4055,6,10,2,1,0,0,0,0,0,0,a1
after,adverb,2,1,0,0,0,372948094,568,11.1372549,46513,1219.7953,42139,4.6858,23850,769.8964,23458,0.9939,62565,1776.5899,59075,5.8476,2.12,0,25,372.3627582,-0.730355193,804,6902,-6098,5,8,2,1,0,0,0,0,0,0,a2
after,conjunction,2,0,0,0,0,372948094,11967,234.6470588,46513,1219.7953,42139,4.6858,23850,769.8964,23458,0.9939,62565,1776.5899,59075,5.8476,2.12,0,25,372.3627582,-0.730355193,804,6902,-6098,5,8,2,1,0,0,0,0,0,0,a2
after,preposition,2,0,0,0,0,372948094,22113,433.5882353,46513,1219.7953,42139,4.6858,23850,769.8964,23458,0.9939,62565,1776.5899,59075,5.8476,2.12,0,25,372.3627582,-0.730355193,804,6902,-6098,5,8,2,1,0,0,0,0,0,0,a1
aftermath,noun,2,2,2,1,0,3018203,53,1.039215686,257,6.7398,255,0.0284,60,1.9368,60,0.0025,351,9.967,350,0.0346,1.97,0,29,834.9715252,-0.443271359,18420,9736,8684,9,12,3,2,1,0,5,0,11,0,c1
again,adverb,1,1,0,0,0,150781416,40358,791.3333333,26395,692.2042,23981,2.6667,22720,733.4192,22329,0.9461,11093,314.9958,10583,1.0476,2,0,28,342.590459,-0.795081201,1582,3657,-2075,5,7,2,1,0,0,0,0,0,0,a1
age,noun,8,4,5,5,0,132725767,3914,76.74509804,6578,172.5069,5947,0.6613,2730,88.1265,2637,0.1117,5853,166.2012,5470,0.5415,2.86,0,29,362.8766967,-0.793264117,431,2115,-1684,3,9,1,1,0,0,0,0,0,0,a1
age,verb,8,1,3,1,1,132725767,114,2.235294118,6578,172.5069,5947,0.6613,2730,88.1265,2637,0.1117,5853,166.2012,5470,0.5415,2.86,0,29,362.8766967,-0.793264117,431,2115,-1684,3,9,1,1,0,0,0,0,0,0,b1
agency,noun,5,3,5,5,0,79915539,988,19.37254902,1585,41.5663,1374,0.1528,738,23.8232,727,0.0308,6800,193.0922,6325,0.6261,3.87,0,31,524.3308209,-0.677463928,2343,4689,-2346,6,13,3,1,0,0,0,0,0,0,b2
