Pos,N_meanings,N_Thesaurus,N_synonyms,N_hypernyms,N_hyponyms,N_antonyms,Google_freq,Movie_freq,Movie_freq_pm,BlogFreq,BlogFreqPm,BlogCD,BlogCDPc,TwitterFreq,TwitterFreqPm,TwitterCD,TwitterCDPc,NewsFreq,NewsFreqPm,NewsCD,NewsCDPc.,Conc_M,Conc_SD,Percent_known,N_unknown,N_participants,nobs,accuracy,rt_correct_mean,rt_correct_std,rt_zscore_correct_mean,rt_zscore_correct_std,rank_L2,nobs_L1,acc_L1,rank_L1,diff_L1_L2,length_of_word,length_of_phonetics,num_of_syllables,num_of_morph,num_of_prefix,num_of_roots,num_of_suff,total_pref_length,total_suff_length,pref_famsize,suff_famsize,root_famsize,level
verb,7,5,6,6,3,1,7002915,108,2.117647059,311,8.1559,306,0.034,73,2.3565,72,0.0031,619,17.5771,611,0.0605,1.86,1.08,0.965517241,1,29,268,0.921641791,1217.356275,744.5806935,-0.316090072,0.746795114,7551,380,0.992105263,9986,-2435,11,14,4,1,0,1,0,0,0,0,0,2,3
noun,6,5,1,6,4,0,60589803,48,0.941176471,235,6.1628,205,0.0228,11,0.3551,11,0.0005,54,1.5334,52,0.0051,2.96,1.19,1,0,27,282,0.921985816,1212.303846,700.1299962,-0.387674347,0.65702334,7524,409,0.997555012,2696,4828,13,16,5,2,0,1,1,0,3,0,1599,2,2
verb,4,3,3,3,2,0,3439497,242,4.745098039,298,7.815,294,0.0327,51,1.6463,51,0.0022,207,5.878,206,0.0204,3.07,1.3,1,0,28,271,0.900369004,1187.905738,773.4431351,-0.363121332,0.820061557,9409,364,1,1418,7991,9,11,4,3,1,1,1,1,1,309,2486,9,3
verb,2,7,2,2,2,0,6091676,298,5.843137255,740,19.4064,713,0.0793,472,15.2365,467,0.0198,465,13.2041,451,0.0446,2.33,1.37,1,0,30,306,0.924836601,1066.282686,685.9239392,-0.554190628,0.681223328,7266,412,0.990291262,11121,-3855,10,11,3,1,0,1,0,0,0,0,0,2,3
noun,2,3,2,2,0,0,25194680,10,0.196078431,213,5.5859,204,0.0227,13,0.4197,13,0.0006,84,2.3853,84,0.0083,1.54,0.84,0.933333333,2,30,248,0.862903226,1242.098131,726.325749,-0.335941428,0.716033212,12599,403,0.987593052,13235,-636,10,11,3,2,0,1,1,0,4,0,323,3,4
adverb,1,1,1,0,0,0,8960086,93,1.823529412,378,9.913,375,0.0417,104,3.3572,104,0.0044,170,4.8273,170,0.0168,1.58,0.92,1,0,31,261,0.873563218,1184.622807,724.9434478,-0.415915383,0.742537149,11666,384,0.994791667,7032,4634,11,12,4,2,0,1,1,0,2,0,2898,3,4
noun,14,2,8,10,7,0,203611349,1587,31.11764706,2774,72.7477,2472,0.2749,4995,161.2425,4846,0.2053,2793,79.3098,2617,0.259,3.08,1.52,1,0,26,244,0.995901639,905.9835391,363.3482946,-0.750150557,0.395963725,215,407,0.995085995,5927,-5712,7,10,2,1,0,1,0,0,0,0,0,8,2
verb,14,2,3,3,1,0,203611349,335,6.568627451,2774,72.7477,2472,0.2749,4995,161.2425,4846,0.2053,2793,79.3098,2617,0.259,3.08,1.52,1,0,26,244,0.995901639,905.9835391,363.3482946,-0.750150557,0.395963725,215,407,0.995085995,5927,-5712,7,10,2,1,0,1,0,0,0,0,0,8,3
noun,1,4,1,1,1,0,4289265,315,6.176470588,129,3.383,120,0.0133,100,3.2281,97,0.0041,204,5.7928,191,0.0189,4.41,0.91,1,0,29,245,0.951020408,1214.948498,754.3168906,-0.399024115,0.708120898,4900,425,0.995294118,5181,-281,10,13,3,2,0,1,1,0,3,0,464,8,3
verb,2,7,2,2,2,0,1715457,29,0.568627451,110,2.8847,108,0.012,29,0.9361,29,0.0012,89,2.5272,89,0.0088,3,1.26,1,0,25,276,0.956521739,1082.564394,564.6116095,-0.512484271,0.537111563,4389,383,0.994778068,7067,-2678,10,17,4,3,1,1,1,1,3,309,937,8,4
noun,2,3,1,2,1,1,29536020,76,1.490196078,323,8.4706,307,0.0341,77,2.4856,76,0.0032,269,7.6385,260,0.0257,1.85,1.23,1,0,27,266,0.906015038,979.9917012,453.6250011,-0.598447534,0.52837161,8872,400,0.995,6254,2618,8,11,4,2,0,1,1,0,3,0,38,6,3
adjective,2,7,1,0,0,1,25144477,398,7.803921569,895,23.4712,854,0.095,396,12.7832,395,0.0167,634,18.003,622,0.0616,1.9,1.18,0.966666667,1,30,245,0.951020408,957.695279,458.2797264,-0.668880561,0.459152733,4892,402,0.995024876,6200,-1308,8,10,3,2,0,1,1,0,3,0,937,6,3
adverb,1,1,0,0,0,1,6587832,58,1.137254902,352,9.2311,348,0.0387,65,2.0983,64,0.0027,224,6.3607,222,0.022,2.39,1.52,1,0,28,268,0.891791045,1200.778243,804.0566612,-0.433783794,0.694478868,10198,371,0.997304582,4333,5865,10,12,4,3,0,1,2,0,5,0,3835,6,3
noun,2,3,2,2,2,0,847191,143,2.803921569,104,2.7274,102,0.0113,17,0.5488,17,0.0007,120,3.4075,120,0.0119,2.38,1.24,1,0,29,255,0.843137255,1230.84186,763.754048,-0.396277665,0.657136708,14283,435,0.988505747,12559,1724,10,16,4,2,0,1,1,0,3,0,1599,5,4
verb,2,5,2,1,2,0,1048371,290,5.68627451,155,4.0648,150,0.0167,68,2.1951,68,0.0029,160,4.5433,160,0.0158,2.25,1.29,1,0,28,303,0.881188119,1100.565543,640.2111776,-0.512228768,0.610317774,11042,439,0.986332574,14017,-2975,6,9,2,1,0,1,0,0,0,0,0,5,3
verb,1,7,1,1,1,0,27332769,374,7.333333333,1640,43.0087,1564,0.1739,694,22.4029,681,0.0289,856,24.3069,840,0.0831,2.29,1.3,1,0,28,246,0.947154472,1035.699571,737.0418184,-0.559956097,0.603634471,5253,380,0.992105263,9973,-4720,7,10,2,1,0,1,0,0,0,0,0,6,1
adjective,5,7,2,0,0,0,30867887,6,0.117647059,598,15.6824,490,0.0545,195,6.2948,189,0.008,344,9.7682,305,0.0302,4.25,1,1,0,28,228,0.964912281,922.4136364,430.3743266,-0.703304234,0.370849194,3571,410,0.995121951,5775,-2204,4,7,2,1,0,1,0,0,0,0,0,5,4
noun,5,7,1,2,1,0,30867887,502,9.843137255,598,15.6824,490,0.0545,195,6.2948,189,0.008,344,9.7682,305,0.0302,4.25,1,1,0,28,228,0.964912281,922.4136364,430.3743266,-0.703304234,0.370849194,3571,410,0.995121951,5775,-2204,4,7,2,1,0,1,0,0,0,0,0,5,3
verb,6,5,5,6,3,1,6546612,313,6.137254902,686,17.9902,671,0.0746,188,6.0688,187,0.0079,537,15.2486,533,0.0528,2.03,1.33,1,0,31,268,0.929104478,1169.216867,716.6384968,-0.423679154,0.666548623,6921,438,1,1367,5554,11,12,3,3,1,2,0,1,0,309,0,29,3
verb,7,1,6,5,5,1,8803690,135,2.647058824,341,8.9427,329,0.0366,197,6.3593,184,0.0078,360,10.2225,359,0.0355,2.93,1.27,1,0,28,266,0.834586466,1177.126126,826.5026914,-0.44073668,0.697999386,15013,406,0.990147783,11305,3708,7,11,2,2,1,1,0,1,0,309,0,26,3
adverb,1,2,1,0,0,0,76597151,652,12.78431373,8323,218.2692,7988,0.8883,2606,84.1237,2591,0.1098,8250,234.2662,8096,0.8014,3.07,1.21,1,0,28,240,0.983333333,1024.970339,751.523346,-0.63410953,0.565937564,1545,404,0.995049505,6069,-4524,6,8,2,1,0,1,0,0,0,0,0,1,0
