Pos,N_meanings,N_Thesaurus,N_synonyms,N_hypernyms,N_hyponyms,N_antonyms,Google_freq,Movie_freq,Movie_freq_pm,BlogFreq,BlogFreqPm,BlogCD,BlogCDPc,TwitterFreq,TwitterFreqPm,TwitterCD,TwitterCDPc,NewsFreq,NewsFreqPm,NewsCD,NewsCDPc.,Conc_M,Conc_SD,Percent_known,N_unknown,N_participants,nobs,accuracy,rt_correct_mean,rt_correct_std,rt_zscore_correct_mean,rt_zscore_correct_std,rank_L2,nobs_L1,acc_L1,rank_L1,diff_L1_L2,length_of_word,length_of_phonetics,num_of_syllables,num_of_morph,num_of_prefix,num_of_roots,num_of_suff,total_pref_length,total_suff_length,pref_famsize,suff_famsize,root_famsize,level
determiner,1,7,0,0,0,0,318966441,18310,359.0196078,39961,1047.9702,35192,3.9133,18915,610.5908,18350,0.7775,30284,859.9416,28729,2.8438,2.37,1.52,1,0,30,249,0.983935743,964.0612245,621.0253555,-0.668107385,0.546509124,1459,379,0.994722955,7237,-5778,4,7,2,1,0,1,0,0,0,0,0,1,0
noun,8,1,1,2,2,0,309676581,1561,30.60784314,1201,31.496,972,0.1081,754,24.3397,720,0.0305,1305,37.0567,1170,0.1158,4.93,0.25,1,0,30,210,0.99047619,847.375,366.9651272,-0.727649196,0.552776144,849,417,0.985611511,14355,-13506,3,6,1,1,0,1,0,0,0,0,0,1,0
verb,8,1,2,6,1,0,309676581,61,1.196078431,1201,31.496,972,0.1081,754,24.3397,720,0.0305,1305,37.0567,1170,0.1158,4.93,0.25,1,0,30,210,0.99047619,847.375,366.9651272,-0.727649196,0.552776144,849,417,0.985611511,14355,-13506,3,6,1,1,0,1,0,0,0,0,0,1,3
noun,3,5,2,2,0,0,6184918,228,4.470588235,958,25.1234,763,0.0848,1487,48.0015,1446,0.0613,699,19.8487,605,0.0599,3.96,1.17,0.961538462,1,26,233,0.9527897,1095.513514,712.6158855,-0.502208834,0.699861635,4746,426,0.997652582,2015,2731,8,10,3,1,0,1,0,0,0,0,0,1,3
noun,14,3,5,7,3,0,158281269,168,3.294117647,4289,112.4783,3900,0.4337,3603,116.3076,3509,0.1487,9757,277.0589,9225,0.9131,4.03,1.18,1,0,29,257,0.961089494,1058.255061,543.3143355,-0.513896859,0.623366309,3937,396,0.997474747,3318,619,5,9,1,1,0,1,0,0,0,0,0,3,0
noun,14,3,5,7,3,0,158281269,168,3.294117647,4289,112.4783,3900,0.4337,3603,116.3076,3509,0.1487,9757,277.0589,9225,0.9131,4.03,1.18,1,0,29,257,0.961089494,1058.255061,543.3143355,-0.513896859,0.623366309,3937,396,0.997474747,3318,619,5,9,1,1,0,1,0,0,0,0,0,3,4
verb,14,3,4,7,5,0,158281269,519,10.17647059,4289,112.4783,3900,0.4337,3603,116.3076,3509,0.1487,9757,277.0589,9225,0.9131,4.03,1.18,1,0,29,257,0.961089494,1058.255061,543.3143355,-0.513896859,0.623366309,3937,396,0.997474747,3318,619,5,9,1,1,0,1,0,0,0,0,0,3,4
noun,7,5,4,6,2,0,10100139,100,1.960784314,237,6.2153,217,0.0241,91,2.9376,89,0.0038,836,23.739,801,0.0793,3.46,1.61,1,0,26,264,0.890151515,1100.382979,700.4809628,-0.488088136,0.669043892,10329,431,0.990719258,10665,-336,6,11,2,1,0,1,0,0,0,0,0,3,3
adjective,6,2,3,0,0,0,4340610,28,0.549019608,83,2.1767,76,0.0085,35,1.1298,33,0.0014,109,3.0952,109,0.0108,1.92,1.09,0.928571429,2,28,271,0.922509225,1061.996,563.623671,-0.52826104,0.537220836,7482,440,0.979545455,17014,-9532,8,14,3,2,0,1,1,0,2,0,1431,3,4
adjective,6,2,1,0,0,0,37143112,659,12.92156863,430,11.2767,371,0.0413,236,7.6183,230,0.0097,1277,36.2616,1157,0.1145,4.25,1.11,1,0,28,235,0.936170213,967.6590909,436.6038581,-0.588881295,0.530138675,6266,400,0.99,11541,-5275,6,9,2,1,0,1,0,0,0,0,0,5,4
noun,30,5,13,13,7,0,95606752,1050,20.58823529,3802,99.7068,3341,0.3715,3127,100.942,3089,0.1309,6014,170.773,5843,0.5784,4.21,1.21,1,0,29,268,0.96641791,971.4401544,424.3610054,-0.648852439,0.533996192,3419,414,0.990338164,11074,-7655,4,7,1,1,0,1,0,0,0,0,0,29,1
verb,30,5,13,14,10,1,95606752,736,14.43137255,3802,99.7068,3341,0.3715,3127,100.942,3089,0.1309,6014,170.773,5843,0.5784,4.21,1.21,1,0,29,268,0.96641791,971.4401544,424.3610054,-0.648852439,0.533996192,3419,414,0.990338164,11074,-7655,4,7,1,1,0,1,0,0,0,0,0,29,1
noun,3,2,1,3,3,0,7192496,267,5.235294118,504,13.2173,427,0.0475,95,3.0667,93,0.0039,297,8.4336,286,0.0283,4.62,0.8,1,0,26,277,0.97833935,1036.387454,646.7703477,-0.588073291,0.552117838,2102,388,0.992268041,9711,-7609,6,8,2,2,0,1,1,0,2,0,2274,29,3
noun,8,2,4,5,5,0,162390150,1641,32.17647059,5564,145.9149,4719,0.5247,3577,115.4683,3449,0.1461,10195,289.4963,9249,0.9155,4.7,0.61,1,0,27,219,0.99086758,915.2672811,446.4465694,-0.707176874,0.478772291,798,427,0.988290398,12690,-11892,6,9,2,1,0,1,0,0,0,0,0,10,0
verb,8,2,1,4,1,0,162390150,194,3.803921569,5564,145.9149,4719,0.5247,3577,115.4683,3449,0.1461,10195,289.4963,9249,0.9155,4.7,0.61,1,0,27,219,0.99086758,915.2672811,446.4465694,-0.707176874,0.478772291,798,427,0.988290398,12690,-11892,6,9,2,1,0,1,0,0,0,0,0,10,2
noun,3,5,1,3,2,0,109596213,235,4.607843137,2098,55.0197,1799,0.2,3338,107.7532,3194,0.1353,2315,65.7365,2179,0.2157,2.33,1.11,1,0,27,239,0.987447699,989.0762712,600.6951669,-0.643287825,0.582098323,1105,406,1,807,298,9,11,3,1,0,1,0,0,0,0,0,10,2
noun,2,2,2,2,2,0,25710584,83,1.62745098,243,6.3726,225,0.025,169,5.4555,168,0.0071,422,11.9831,413,0.0409,4.28,1.16,1,0,29,298,0.966442953,1134.517361,627.3783123,-0.439943498,0.577530599,3417,387,0.984496124,14993,-11576,11,16,3,2,0,2,0,0,0,0,0,31,4
noun,4,5,3,4,3,0,30592140,3925,76.96078431,2884,75.6324,2310,0.2569,1962,63.3349,1854,0.0786,3216,91.3212,2689,0.2662,2.51,1.2,0.999670348,2,6067,255,0.97254902,964.4475806,495.5231698,-0.656401416,0.588519211,2782,452,0.997787611,1598,1184,8,10,2,1,0,1,0,0,0,0,0,5,2
adjective,3,7,1,0,0,1,30202662,6583,129.0784314,3018,79.1465,2709,0.3012,1796,57.9763,1756,0.0744,2265,64.3167,2151,0.2129,2.82,1.36,1,0,28,229,0.986899563,882.4557522,558.8966514,-0.757838584,0.467582848,1175,395,1,28,1147,7,8,2,1,0,1,0,0,0,0,0,4,0
verb,2,7,2,2,2,0,4388137,5303,103.9803922,762,19.9833,690,0.0767,1151,37.1552,1117,0.0473,406,11.5287,390,0.0386,3.03,1.5,1,0,30,254,0.948818898,1004.257261,636.9937469,-0.606599173,0.656897788,5094,400,0.9975,3145,1949,5,7,2,1,0,1,0,0,0,0,0,4,1
adjective,4,4,2,0,0,0,8710009,296,5.803921569,250,6.5562,225,0.025,93,3.0021,90,0.0038,174,4.9409,167,0.0165,2.43,1.26,1,0,28,235,0.812765957,1191.926702,907.6042291,-0.419630788,0.688461747,16881,401,0.990024938,11510,5371,7,10,2,1,0,1,0,0,0,0,0,2,3
noun,8,2,1,4,3,0,11654805,957,18.76470588,721,18.9081,607,0.0675,360,11.6211,349,0.0148,322,9.1435,310,0.0307,4.96,0.19,1,0,27,229,0.969432314,948.7297297,650.1405618,-0.714746046,0.520727923,3092,449,0.995545657,4720,-1628,4,8,1,1,0,1,0,0,0,0,0,3,4
adjective,11,4,1,0,0,0,40364941,407,7.980392157,2149,56.3571,1899,0.2112,884,28.5362,873,0.037,1723,48.9261,1659,0.1642,3.44,1.6,0.964285714,1,28,240,0.916666667,978.1863636,564.9782529,-0.661050264,0.514289654,7937,399,1,149,7788,4,6,1,1,0,1,0,0,0,0,0,7,3
noun,11,4,6,9,8,0,40364941,402,7.882352941,2149,56.3571,1899,0.2112,884,28.5362,873,0.037,1723,48.9261,1659,0.1642,3.44,1.6,0.964285714,1,28,240,0.916666667,978.1863636,564.9782529,-0.661050264,0.514289654,7937,399,1,149,7788,4,6,1,1,0,1,0,0,0,0,0,7,3
noun,2,7,1,1,1,0,2620731,163,3.196078431,200,5.245,188,0.0209,86,2.7761,85,0.0036,185,5.2532,183,0.0181,4,1.08,1,0,30,267,0.876404494,1129.935897,613.8128499,-0.451658324,0.662909286,11424,421,0.983372922,15475,-4051,8,9,3,1,0,1,0,0,0,0,0,1,4
adjective,4,4,1,0,0,0,19454740,508,9.960784314,1860,48.7782,1801,0.2003,734,23.6941,728,0.0308,1732,49.1817,1721,0.1704,3.21,1.32,1,0,28,226,0.973451327,923.6727273,426.5554423,-0.732768003,0.467646317,2684,419,0.997613365,2254,430,7,8,2,2,0,1,1,0,3,0,580,7,3
noun,14,3,8,10,7,0,61704297,4145,81.2745098,2160,56.6456,1951,0.2169,1257,40.5769,1225,0.0519,1954,55.4856,1870,0.1851,2.63,1.31,1,0,27,214,0.971962617,867.9855769,371.9864612,-0.723782715,0.453631333,2852,429,0.995337995,5094,-2242,6,9,2,1,0,1,0,0,0,0,0,29,3
verb,14,3,4,4,3,0,61704297,278,5.450980392,2160,56.6456,1951,0.2169,1257,40.5769,1225,0.0519,1954,55.4856,1870,0.1851,2.63,1.31,1,0,27,214,0.971962617,867.9855769,371.9864612,-0.723782715,0.453631333,2852,429,0.995337995,5094,-2242,6,9,2,1,0,1,0,0,0,0,0,29,3
noun,19,6,5,9,4,0,53532481,1609,31.54901961,2434,63.8312,2195,0.2441,1968,63.5286,1925,0.0816,2872,81.553,2657,0.263,4.14,1.18,1,0,28,224,0.991071429,897.0810811,507.0791282,-0.747894407,0.453635525,773,413,0.997578692,2490,-1717,5,8,1,1,0,1,0,0,0,0,0,13,0
verb,19,6,7,10,4,1,53532481,908,17.80392157,2434,63.8312,2195,0.2441,1968,63.5286,1925,0.0816,2872,81.553,2657,0.263,4.14,1.18,1,0,28,224,0.991071429,897.0810811,507.0791282,-0.747894407,0.453635525,773,413,0.997578692,2490,-1717,5,8,1,1,0,1,0,0,0,0,0,13,0
adjective,11,1,2,0,0,4,98528318,33,0.647058824,2601,68.2108,2327,0.2588,780,25.179,773,0.0328,1593,45.2347,1524,0.1509,4.26,1.23,1,0,27,229,0.978165939,906.2857143,378.8407957,-0.701692808,0.407765034,2119,399,0.997493734,3174,-1055,8,14,4,1,0,1,0,0,0,0,0,9,3
noun,11,1,2,5,4,0,98528318,1097,21.50980392,2601,68.2108,2327,0.2588,780,25.179,773,0.0328,1593,45.2347,1524,0.1509,4.26,1.23,1,0,27,229,0.978165939,906.2857143,378.8407957,-0.701692808,0.407765034,2119,399,0.997493734,3174,-1055,8,14,4,1,0,1,0,0,0,0,0,9,1
noun,1,4,1,1,1,0,24809371,155,3.039215686,158,4.1435,145,0.0161,42,1.3558,40,0.0017,109,3.0952,106,0.0105,2.52,1.42,1,0,27,265,0.996226415,1090.287879,665.9447165,-0.534295436,0.595795556,139,405,0.992592593,8990,-8851,11,14,4,1,0,1,0,0,0,0,0,1,1
noun,7,2,2,6,4,0,66632805,10513,206.1372549,8367,219.4231,7827,0.8704,5102,164.6965,4917,0.2083,5552,157.6541,5389,0.5334,3.54,1.45,1,0,28,242,0.975206612,990.9110169,626.3687281,-0.617284821,0.615255137,2472,390,0.98974359,11854,-9382,6,7,2,1,0,1,0,0,0,0,0,2,1
verb,7,2,1,1,1,0,66632805,4277,83.8627451,8367,219.4231,7827,0.8704,5102,164.6965,4917,0.2083,5552,157.6541,5389,0.5334,3.54,1.45,1,0,28,242,0.975206612,990.9110169,626.3687281,-0.617284821,0.615255137,2472,390,0.98974359,11854,-9382,6,7,2,1,0,1,0,0,0,0,0,2,1
adjective,11,5,1,0,0,4,73877124,319,6.254901961,536,14.0565,513,0.057,310,10.007,304,0.0129,417,11.8411,404,0.04,1.86,1.16,1,0,29,256,0.94140625,918.1576763,449.267515,-0.694195117,0.487025202,5783,403,1,165,5618,6,10,2,1,0,1,0,0,0,0,0,13,4
verb,11,5,4,6,2,0,73877124,97,1.901960784,536,14.0565,513,0.057,310,10.007,304,0.0129,417,11.8411,404,0.04,1.86,1.16,1,0,29,256,0.94140625,918.1576763,449.267515,-0.694195117,0.487025202,5783,403,1,165,5618,6,10,2,1,0,1,0,0,0,0,0,13,4
adjective,4,4,1,0,0,1,58933430,306,6,628,16.4692,599,0.0666,172,5.5523,169,0.0072,935,26.5502,913,0.0904,2.54,1.53,1,0,28,212,0.985849057,967.3397129,472.053538,-0.645418497,0.546114085,1284,403,1,849,435,7,11,3,2,0,1,1,0,3,0,39,7,3
noun,4,4,2,3,0,2,58933430,92,1.803921569,628,16.4692,599,0.0666,172,5.5523,169,0.0072,935,26.5502,913,0.0904,2.54,1.53,1,0,28,212,0.985849057,967.3397129,472.053538,-0.645418497,0.546114085,1284,403,1,849,435,7,11,3,2,0,1,1,0,3,0,39,7,3
noun,2,2,2,2,0,0,827822032,1,0.019607843,32307,847.2454,27972,3.1105,18786,606.4266,18059,0.7652,28617,812.6056,26464,2.6196,3,1.45,1,0,22,239,0.970711297,1002.87931,619.3875296,-0.616129952,0.533561474,2965,431,0.997679814,1863,1102,3,7,1,1,0,1,0,0,0,0,0,8,0
adverb,1,5,1,0,0,0,51895609,47143,924.372549,14014,367.5147,12349,1.3732,14496,467.9421,14160,0.6,5374,152.5996,4918,0.4868,1.52,0.98,1,0,27,202,0.98019802,923.2272727,428.0590522,-0.695948754,0.493587386,1890,406,0.992610837,8967,-7077,5,10,2,1,0,1,0,0,0,0,0,1,0
noun,1,3,1,1,1,0,15030847,1464,28.70588235,759,19.9046,648,0.0721,1204,38.8661,1158,0.0491,6879,195.3354,6434,0.6369,4.37,1.08,1,0,27,248,0.943548387,1064.508547,710.1831127,-0.546526087,0.645935505,5577,368,1,601,4976,5,7,1,1,0,1,0,0,0,0,0,4,3
noun,3,7,1,3,2,0,12937343,1471,28.84313725,2683,70.3612,2399,0.2668,1309,42.2555,1288,0.0546,1512,42.9346,1427,0.1413,4.62,0.73,1,0,29,220,0.981818182,928.8703704,641.7945276,-0.722632912,0.54909125,1717,434,1,240,1477,4,7,1,1,0,1,0,0,0,0,0,11,0
verb,15,2,5,4,4,0,80312172,61291,1201.784314,9983,261.8024,9233,1.0267,12603,406.8346,12349,0.5232,4120,116.9911,3959,0.3919,2.5,1.48,1,0,28,258,0.992248062,925.7109375,457.4922976,-0.7004813,0.433068482,497,427,0.995316159,5138,-4641,4,7,1,1,0,1,0,0,0,0,0,14,0
noun,3,3,2,2,2,0,28821231,1308,25.64705882,3029,79.435,2834,0.3151,1153,37.2197,1140,0.0483,1422,40.379,1400,0.1386,1.85,1.23,1,0,27,263,0.97338403,928.6601563,349.3603423,-0.702211787,0.504357741,2692,438,0.993150685,7973,-5281,7,9,2,1,0,1,0,0,0,0,0,14,0
adjective,1,7,0,0,0,1,6768984,178,3.490196078,652,17.0986,639,0.0711,288,9.2969,286,0.0121,477,13.5448,472,0.0467,1.62,1.06,1,0,26,305,0.918032787,1144.371429,695.2087987,-0.45417128,0.706720812,7838,402,0.992537313,9096,-1258,10,13,3,2,0,1,1,0,3,0,343,14,4
noun,3,4,3,4,3,0,105946662,1429,28.01960784,10522,275.9376,9779,1.0874,6163,198.9464,6018,0.255,5542,157.3701,5341,0.5287,1.93,1.27,1,0,28,242,0.983471074,1009.420168,536.40528,-0.625661779,0.499448871,1517,438,0.99543379,4870,-3353,5,8,1,1,0,1,0,0,0,0,0,14,3
noun,2,5,1,1,1,0,3568612,767,15.03921569,894,23.445,889,0.0989,175,5.6491,175,0.0074,544,15.4474,544,0.0538,1.87,1.22,1,0,30,253,0.936758893,1085.113924,673.3896105,-0.534149241,0.647349143,6215,425,0.985882353,14199,-7984,8,12,2,2,0,2,0,0,0,0,0,60,4
adverb,2,5,1,0,0,0,8105294,811,15.90196078,1442,37.8162,1436,0.1597,192,6.1979,192,0.0081,2978,84.563,2974,0.2944,1.27,0.6,0.962962963,1,27,304,0.953947368,1036.237931,577.8922284,-0.585293752,0.52709662,4630,443,0.995485327,4789,-159,9,12,2,2,0,2,0,0,0,0,0,17,2
noun,12,4,8,9,8,0,32083783,262,5.137254902,1413,37.0557,1314,0.1461,560,18.0772,545,0.0231,3715,105.4908,3485,0.345,3.59,1.18,1,0,29,265,0.973584906,987.0155039,488.6284383,-0.676083788,0.450773193,2662,367,0.994550409,7540,-4878,7,7,2,1,0,1,0,0,0,0,0,9,2
verb,12,4,3,4,4,0,32083783,274,5.37254902,1413,37.0557,1314,0.1461,560,18.0772,545,0.0231,3715,105.4908,3485,0.345,3.59,1.18,1,0,29,265,0.973584906,987.0155039,488.6284383,-0.676083788,0.450773193,2662,367,0.994550409,7540,-4878,7,7,2,1,0,1,0,0,0,0,0,9,2
noun,1,4,1,1,1,0,20463095,27,0.529411765,190,4.9827,170,0.0189,64,2.066,64,0.0027,88,2.4988,82,0.0081,3.26,1.35,1,0,27,239,0.953974895,1070.333333,597.3511378,-0.529040262,0.563563516,4627,404,0.997524752,2930,1697,11,11,3,2,0,1,1,0,4,0,288,9,3
noun,3,2,2,3,2,0,17652296,2227,43.66666667,2563,67.2142,2041,0.227,1089,35.1538,1021,0.0433,2127,60.3981,1852,0.1833,4.9,0.3,1,0,31,236,0.991525424,913.5128205,451.5881202,-0.685656853,0.570043155,687,400,0.9975,3105,-2418,4,7,1,1,0,1,0,0,0,0,0,11,0
noun,3,1,2,2,0,0,4198798,257,5.039215686,148,3.8813,127,0.0141,83,2.6793,82,0.0035,145,4.1174,142,0.0141,4.38,1.29,1,0,29,253,0.948616601,1040.308333,616.7462713,-0.537597359,0.649216482,5114,425,0.995294118,5172,-58,8,10,3,2,0,1,1,0,2,0,1014,11,3
adjective,3,7,1,0,0,1,19250300,250,4.901960784,324,8.4968,290,0.0322,127,4.0997,126,0.0053,384,10.904,372,0.0368,3.17,1.28,1,0,29,263,0.97338403,1078.507813,603.6094244,-0.528885492,0.558387195,2698,418,0.992822967,8497,-5799,10,13,4,3,0,1,2,0,4,0,2445,11,3
noun,5,4,2,5,3,0,17771611,190,3.725490196,300,7.8674,277,0.0308,53,1.7109,53,0.0022,197,5.594,196,0.0194,3.67,1.07,1,0,27,274,0.97810219,1114.895522,724.2809092,-0.481004803,0.702338012,2127,394,0.997461929,3456,-1329,9,13,3,2,0,1,1,0,3,0,271,11,3
noun,1,7,1,1,1,0,7747036,589,11.54901961,296,7.7625,272,0.0302,155,5.0035,151,0.0064,625,17.7474,544,0.0538,4.89,0.42,0.965517241,1,29,230,0.926086957,1014.798122,514.985145,-0.585320898,0.617776964,7152,409,0.990220049,11206,-4054,5,9,2,1,0,1,0,0,0,0,0,3,3
adjective,4,1,1,0,0,1,155254497,2770,54.31372549,2358,61.8381,2024,0.2251,903,29.1495,869,0.0368,8219,233.386,7457,0.7381,3.07,1.33,1,0,27,224,0.991071429,873.5585586,332.3768287,-0.742039821,0.421904875,774,367,1,530,244,7,11,3,2,0,1,1,0,2,0,1431,8,1
noun,2,4,1,2,2,0,14530555,651,12.76470588,462,12.1159,402,0.0447,122,3.9383,121,0.0051,609,17.2931,586,0.058,4.53,1.07,1,0,30,257,0.93385214,1130.3125,631.4645843,-0.476592523,0.599222445,6464,402,0.995024876,6182,282,10,15,4,3,0,1,2,0,6,0,2536,8,3
noun,5,2,4,4,3,0,63831932,1731,33.94117647,997,26.1462,883,0.0982,648,20.9179,631,0.0267,1641,46.5977,1495,0.148,4.79,0.5,1,0,28,229,0.991266376,942.4273128,520.0817395,-0.660019947,0.47645231,729,406,0.992610837,8937,-8208,8,9,3,1,0,1,0,0,0,0,0,3,1
adjective,3,3,1,0,0,0,8087116,151,2.960784314,388,10.1752,345,0.0384,102,3.2926,101,0.0043,139,3.947,135,0.0134,2.46,1.36,0.962962963,1,27,273,0.875457875,1072.656904,650.4598821,-0.541237966,0.616461543,11513,424,0.990566038,10819,694,8,14,4,1,0,1,0,0,0,0,0,1,4
noun,2,7,1,2,0,0,6729371,84,1.647058824,532,13.9516,467,0.0519,241,7.7797,237,0.01,147,4.1742,139,0.0138,2.85,1.46,1,0,26,294,0.982993197,1061.301038,626.4230322,-0.532881713,0.656308608,1573,427,0.990632319,10749,-9176,10,15,4,2,0,1,1,0,3,0,1599,7,4
adjective,13,3,1,0,0,0,51330557,157,3.078431373,2389,62.6511,2174,0.2417,399,12.88,386,0.0164,1026,29.1342,963,0.0953,3,1.41,1,0,28,243,0.991769547,911.1244813,419.0903555,-0.710575343,0.435587692,628,397,0.997481108,3294,-2666,6,11,3,1,0,1,0,0,0,0,0,3,2
noun,13,3,4,11,7,0,51330557,202,3.960784314,2389,62.6511,2174,0.2417,399,12.88,386,0.0164,1026,29.1342,963,0.0953,3,1.41,1,0,28,243,0.991769547,911.1244813,419.0903555,-0.710575343,0.435587692,628,397,0.997481108,3294,-2666,6,11,3,1,0,1,0,0,0,0,0,3,3
verb,14,2,11,7,9,1,93275872,17827,349.5490196,5478,143.6596,5145,0.5721,10252,330.9425,10077,0.427,5824,165.3778,5623,0.5566,3,1.39,1,0,28,232,0.982758621,904.0438596,393.8261628,-0.698666286,0.49541871,1603,411,0.99756691,2597,-994,4,7,1,1,0,1,0,0,0,0,0,3,0
noun,6,3,6,6,5,0,120814306,4608,90.35294118,4023,105.5025,3618,0.4023,8129,262.4104,7960,0.3373,7347,208.6247,6939,0.6869,3.31,1.26,1,0,29,207,0.990338164,882.8634146,427.118573,-0.749110561,0.450464618,859,418,0.997607656,2293,-1434,7,9,2,1,0,1,0,0,0,0,0,3,0
noun,2,7,2,2,1,0,4264666,337,6.607843137,348,9.1262,319,0.0355,162,5.2295,159,0.0067,163,4.6285,158,0.0156,3.71,1.33,1,0,28,252,0.976190476,941.101626,499.1820839,-0.692962186,0.485183776,2357,375,0.994666667,7365,-5008,6,9,3,2,0,1,1,0,1,0,2486,6,4
verb,7,7,6,6,2,0,3153948,364,7.137254902,723,18.9605,697,0.0775,329,10.6204,327,0.0139,265,7.5249,256,0.0253,3.96,1.07,1,0,28,248,0.947580645,973.2,429.4778961,-0.602204912,0.664498118,5206,363,0.988980716,12374,-7168,4,7,1,1,0,1,0,0,0,0,0,2,3
noun,5,2,3,5,3,1,283858893,1465,28.7254902,3211,84.2079,2997,0.3333,1826,58.9447,1805,0.0765,5978,169.7507,5742,0.5684,3.07,1.25,1,0,29,251,0.984063745,941.7651822,497.435637,-0.68306927,0.509810369,1445,395,0.997468354,3399,-1954,6,8,2,1,0,1,0,0,0,0,0,5,0
noun,2,2,1,2,0,0,52738089,165,3.235294118,549,14.3974,484,0.0538,529,17.0765,520,0.022,663,18.8265,624,0.0618,3.04,1.5,0.965517241,1,29,267,0.966292135,1026.98062,506.3890282,-0.614801705,0.513738707,3437,357,1,903,2534,10,12,3,2,0,1,1,0,4,0,76,5,3
noun,1,3,1,1,1,0,6710272,337,6.607843137,154,4.0386,145,0.0161,217,7.0049,211,0.0089,505,14.3399,476,0.0471,4.25,1.24,1,0,28,280,0.928571429,1094.188462,648.9381876,-0.492020024,0.74513331,6957,420,0.997619048,2195,4762,4,9,2,1,0,1,0,0,0,0,0,1,4
noun,2,1,0,2,0,0,2299845,9,0.176470588,330,8.6542,300,0.0334,122,3.9383,119,0.005,322,9.1435,312,0.0309,3.76,1.36,1,0,25,263,0.775665399,1227.79902,780.9893774,-0.29947233,0.824435039,19881,381,0.981627297,16249,3632,6,9,2,1,0,1,0,0,0,0,0,1,4
adjective,1,1,0,0,0,0,4538880,115,2.254901961,719,18.8556,703,0.0782,250,8.0702,248,0.0105,569,16.1573,566,0.056,1.79,1.08,1,0,29,244,0.971311475,1008.122363,436.749072,-0.58278677,0.486682931,2908,430,0.995348837,5043,-2135,9,13,4,2,0,1,1,0,4,0,872,11,3
noun,3,4,2,3,2,0,20161664,360,7.058823529,639,16.7577,562,0.0625,869,28.052,859,0.0364,2155,61.1932,2044,0.2023,3.68,1.28,1,0,28,250,0.988,972.0323887,485.7953237,-0.646115972,0.467873232,1020,436,0.997706422,1775,-755,8,12,4,3,0,1,2,0,3,0,3917,11,4
noun,5,3,3,5,4,0,140479833,2466,48.35294118,2850,74.7407,2514,0.2796,1211,39.092,1199,0.0508,1494,42.4235,1423,0.1409,2.38,1.52,1,0,29,248,0.987903226,873.6897959,329.483217,-0.736022013,0.463926645,1030,413,0.992736077,8667,-7637,6,10,3,2,0,1,1,0,1,0,2486,11,1
adjective,5,7,1,0,0,1,35674270,1003,19.66666667,2001,52.4759,1730,0.1924,828,26.7285,812,0.0344,1749,49.6644,1604,0.1588,2.04,1.16,1,0,27,246,0.971544715,919.7405858,519.8157071,-0.715345863,0.49274632,2879,403,0.995037221,6144,-3265,6,10,2,1,0,1,0,0,0,0,0,3,2
noun,6,3,3,3,2,0,18291476,170,3.333333333,3528,92.5212,3445,0.3831,4713,152.1393,4696,0.199,1431,40.6345,1410,0.1396,2.69,1.26,1,0,29,7106,0.920489727,1088.671151,649.2249974,-0.488620158,0.674102825,7641,395,0.994936709,6551,1090,7,9,2,1,0,1,0,0,0,0,0,5,2
verb,6,3,3,3,2,0,18291476,2857,56.01960784,3528,92.5212,3445,0.3831,4713,152.1393,4696,0.199,1431,40.6345,1410,0.1396,2.69,1.26,1,0,29,7106,0.920489727,1088.671151,649.2249974,-0.488620158,0.674102825,7641,395,0.994936709,6551,1090,7,9,2,1,0,1,0,0,0,0,0,5,1
noun,2,3,1,1,1,0,5537836,177,3.470588235,359,9.4147,336,0.0374,350,11.2983,343,0.0145,863,24.5057,796,0.0788,3.7,1.18,1,0,30,244,0.950819672,910.2672414,476.3882672,-0.653133717,0.549479961,4919,428,1,1097,3822,6,9,2,1,0,1,0,0,0,0,0,1,4
noun,4,5,3,4,2,0,74359141,508,9.960784314,1499,39.311,1305,0.1451,1405,45.3545,1367,0.0579,3349,95.0979,3019,0.2988,4.67,0.96,1,0,27,208,0.985576923,925.2780488,588.8777177,-0.730288653,0.453390513,1304,411,0.99513382,5709,-4405,4,9,2,1,0,1,0,0,0,0,0,1,0
noun,1,3,1,1,1,0,37569902,144,2.823529412,258,6.766,246,0.0274,115,3.7123,114,0.0048,185,5.2532,177,0.0175,4.31,1,1,0,29,273,0.882783883,1102.543568,697.737862,-0.481894112,0.710323933,10919,422,0.997630332,2122,8797,8,12,2,1,0,1,0,0,0,0,0,2,4
noun,5,4,3,5,3,1,6831149,1284,25.17647059,844,22.1338,726,0.0807,492,15.8821,473,0.02,413,11.7275,380,0.0376,1.57,0.73,1,0,30,271,0.929889299,1067.650794,671.955899,-0.587497801,0.650217104,6853,351,1,418,6435,5,8,2,1,0,1,0,0,0,0,0,7,4
adjective,3,1,1,0,0,0,7312247,373,7.31372549,1061,27.8245,1032,0.1148,165,5.3263,164,0.0069,506,14.3683,503,0.0498,1.43,0.73,0.92,2,25,278,0.726618705,1194.80198,609.9681179,-0.337026703,0.605266734,23720,361,0.96398892,21426,2294,4,7,1,1,0,1,0,0,0,0,0,3,4
adverb,1,4,1,0,0,0,11492724,798,15.64705882,1445,37.8949,1402,0.1559,235,7.586,235,0.01,728,20.6722,725,0.0718,1.42,0.64,1,0,26,257,0.817120623,1077.671429,594.6276078,-0.52237024,0.528028916,16496,419,0.992840095,8421,8075,6,9,2,2,0,1,1,0,2,0,2898,3,4
