words,length_of_word,length_of_phonetics,num_of_syllables,num_of_morph,num_of_prefix,num_of_roots,num_of_suff,total_pref_length,total_suff_length,pref_famsize,suff_famsize,root_famsize,lowest_level
dress,5,7,1,1,0,1,0,0,0,0,0,15,a1
drink,5,8,1,1,0,1,0,0,0,0,0,5,a1
drive,5,9,1,1,0,1,0,0,0,0,0,6,a1
driver,6,10,2,2,0,1,1,0,2,0,2274,6,a1
during,6,10,2,1,0,1,0,0,0,0,0,1,a1
each,4,8,1,1,0,1,0,0,0,0,0,1,a1
ear,3,6,1,1,0,1,0,0,0,0,0,14,a1
early,5,7,2,1,0,1,0,0,0,0,0,4,a1
east,4,7,1,1,0,1,0,0,0,0,0,19,a1
easy,4,7,2,2,0,1,1,0,1,0,2486,15,a1
eat,3,6,1,1,0,1,0,0,0,0,0,8,a1
egg,3,5,1,1,0,1,0,0,0,0,0,6,a1
eight,5,7,1,1,0,1,0,0,0,0,0,8,a1
eighteen,8,10,2,2,0,1,1,0,3,0,4,8,a1
eighty,6,8,2,2,0,1,1,0,1,0,2486,8,a1
elephant,8,10,3,1,0,1,0,0,0,0,0,3,a1
eleven,6,9,3,1,0,1,0,0,0,0,0,3,a1
else,4,6,1,1,0,1,0,0,0,0,0,2,a1
end,3,6,1,1,0,1,0,0,0,0,0,13,a1
enjoy,5,11,2,2,1,1,0,2,0,148,0,19,a1
enough,6,7,2,1,0,1,0,0,0,0,0,1,a1
even,4,8,2,1,0,1,0,0,0,0,0,7,a1
evening,7,#N/A,#N/A,1,0,1,0,0,0,0,0,1,a1
event,5,8,2,1,0,1,0,0,0,0,0,10,a1
ever,4,6,2,1,0,1,0,0,0,0,0,22,a1
every,5,7,2,1,0,1,0,0,0,0,0,6,a1
everybody,9,12,4,2,0,2,0,0,0,0,0,24,a1
everyone,8,11,3,2,0,2,0,0,0,0,0,15,a1
everything,10,11,3,2,0,2,0,0,0,0,0,15,a1
exam,4,8,2,1,0,1,0,0,0,0,0,1,a1
example,7,13,3,1,0,1,0,0,0,0,0,6,a1
excited,7,12,3,1,0,1,0,0,0,0,0,7,a1
exciting,8,12,3,1,0,1,0,0,0,0,0,7,a1
exercise,8,13,3,1,0,1,0,0,0,0,0,1,a1
expensive,9,12,3,2,0,1,1,0,3,0,580,5,a1
explain,7,12,2,1,0,1,0,0,0,0,0,11,a1
extra,5,9,2,1,0,1,0,0,0,0,0,1,a1
eye,3,6,1,1,0,1,0,0,0,0,0,24,a1
face,4,8,1,1,0,1,0,0,0,0,0,29,a1
fact,4,7,1,1,0,1,0,0,0,0,0,25,a1
fall,4,7,1,1,0,1,0,0,0,0,0,24,a1
FALSE,5,7,#N/A,1,0,1,0,0,0,0,0,8,a1
family,6,9,3,1,0,1,0,0,0,0,0,9,a1
famous,6,10,2,2,0,1,1,0,4,0,617,8,a1
fantastic,9,13,3,2,0,1,1,0,2,0,1014,6,a1
far,3,6,1,1,0,1,0,0,0,0,0,5,a1
farm,4,7,1,1,0,1,0,0,0,0,0,8,a1
farmer,6,8,2,2,0,1,1,0,2,0,2274,8,a1
fast,4,8,1,1,0,1,0,0,0,0,0,12,a1
fat,3,6,1,1,0,1,0,0,0,0,0,15,a1
father,6,8,2,1,0,1,0,0,0,0,0,11,a1
favourite,9,11,#N/A,2,0,1,1,0,3,0,45,8,a1
february,8,#N/A,#N/A,1,0,1,0,0,0,0,0,1,a1
feel,4,7,1,1,0,1,0,0,0,0,0,5,a1
feeling,7,9,2,1,0,1,0,0,0,0,0,5,a1
festival,8,12,3,3,0,1,2,0,5,0,2011,4,a1
few,3,7,1,1,0,1,0,0,0,0,0,3,a1
fifteen,7,10,2,2,0,1,1,0,4,0,14,12,a1
fifth,5,7,1,2,0,1,1,0,2,0,53,12,a1
fifty,5,8,2,2,0,1,1,0,3,0,580,12,a1
fill,4,6,1,1,0,1,0,0,0,0,0,7,a1
film,4,7,1,1,0,1,0,0,0,0,0,9,a1
final,5,11,2,1,0,1,0,0,0,0,0,8,a1
find,4,9,1,1,0,1,0,0,0,0,0,7,a1
fine,4,#N/A,#N/A,1,0,1,0,0,0,0,0,9,a1
